1;Ac;Acolon;Č
2;Ag;Agni;Č
3;Al;Alibernet;Č
4;An;André;Č
5;Ar;Ariana;Č
6;Au;Aurelius;B
7;Ax;Auxerrois;B
8;Ba;Bačka;B
9;Bag;Bago;Č
10;Bi;Bianca;B
11;Bl;Blauburger;Č
12;CaB;Cabernet Blanc;B
13;CC;Cabernet Cortis;Č
14;CD;Cabernet Dorsa;Č
15;Ce;Cerason;Č
16;CF;Cabernet Franc;Č
17;CM;Cabernet Moravia;Č
18;Cmit;Caberbet Mithos;Č
19;CS;Cabernet Sauvignon;Č
20;De;Děvín;B
21;Dr;Dornfelder;Č
22;Dri;DonauRiesling;B
23;Er;Erilon;B
24;Fl;Florianka;B
25;Fr;Frankovka;Č
26;Ftv;Fratava;Č
27;Gwt;Gewurztraminer;B
28;He;Helios;B
29;Hi;Hibernal;B
30;Ch;Chardonnay;B
31;Cher;Cherchegyi fürz;B
32;Chor;Chorvát;Č
33;Chrup;Chrupka;B
34;IO;Irsai Oliver;B
35;Iz;Izabela;Č
36;Jak;Jakubské;Č
37;Joh;Johannitet;B
38;Ke;Kerner;B
39;Kof;Kofranka;Č
40;La;Laurot;Č
41;Le;Lena;B
42;Ma;Malverina;B
43;Me;Merlot;Č
44;Med;Medea;B
45;MH;Muškát Hamburský;Č
46;MM;Muškát moravský;B
47;MO;Muškát Ottonel;B
48;Mol;Moldova;Č
49;MP;Modrý Portugal;Č
50;Mr;Mery;B
51;MT;Müller Thurgau;B
52;MuMo;Muškát Morio;B
53;Musc;Muscaris;B
54;MŽ;Muškát žlutý;B
55;Na;Nativa;Č
56;Ne;Neronet;Č
57;Ng;Neuburské;B
58;Ni;Nitra;B
59;No;Noah;B
60;Pa;Pálava;B
61;PL;Pesecká leanka;B
62;Prim;Prim;B
63;RB;Rulandské bílé;B
64;Re;Retsina;B
65;Reg;Regent;Č
66;Ri;Rinot;B
67;Riv;Rivaner;B
68;RM;Rulandské modré;Č
69;RR;Ryzlink rýnský;B
70;RŠ;Rulandské šedé;B
71;Ru;Rubinet;Č
72;Rul;Rulenka;B
73;RV;Ryzlink vlašský;B
74;Sap;Saphira;B
75;Sar;Saryvel;B
76;Sev;Sevar;Č
77;Sg;Sauvignon;B
78;SgB;Sauvignon blanc;B
79;SoG;Souvignier Gris;B
80;Sol;Solaris;B
81;Sv;Svatovavřinecké;Č
82;Svj;Svojsen;B
83;Svl;Savilon;B
84;SZ;Sylvánské zelené;B
85;TČ;Tramín červený;B
86;Tr;Tristar;B
87;Tra;Tramín;B
88;VČR;Veltlínské červené rané;B
89;Ve;Veritas;B
90;Ves;Vesna;B
91;Vra;Vranac;Č
92;Vrb;Vrboska;B
93;VZ;Veltlínské zelené;B
94;Zw;Zweigeltrebe;Č
95;Rei;Reichensteiner;B
96;Sem;Semillon;B
97;SM;Sylvánské modré;B